epsilon,DPKI_upper_theory,DPKI_lower_theory,DPKI_sim,PKI_theory,PKI_sim
0.0,0.22345066267440875,0.20037102072947613,0.2252291743708852,0.1950316856780735,0.1937135269010221
0.014285714285714285,0.2254518831858927,0.2016609965189906,,0.20017454282093067,
0.02857142857142857,0.2274850256750581,0.20297484299041177,,0.20531739996378778,
0.04285714285714286,0.229550513064742,0.20431290422846693,,0.21046025710664495,
0.05714285714285714,0.2316487764815422,0.205675530996292,,0.21560311424950207,
0.07142857142857142,0.23378025545477588,0.20706308089732012,,0.22074597139235924,
0.08571428571428572,0.23594539812127163,0.20847591854191805,,0.22588882853521636,
0.09999999999999999,0.23814466143619473,0.20991441571893116,,0.23103168567807353,
0.11428571428571428,0.24037851139011285,0.21137895157230746,,0.23617454282093064,
0.12857142857142856,0.24264742323252145,0.2128699127829774,,0.24131739996378782,
0.14285714285714285,0.24495188170205134,0.2143876937561719,,0.24646025710664493,
0.15714285714285714,0.24729238126359407,0.21593269681436977,,0.2516031142495021,
0.17142857142857143,0.2496694263525889,0.21750533239607261,,0.2567459713923592,
0.18571428571428572,0.25208353162672453,0.21910601926061357,,0.2618888285352164,
0.19999999999999998,0.2545352222253191,0.22073518469921466,,0.2670316856780735,
0.21428571428571427,0.2570250340366535,0.22239326475251603,,0.2721745428209307,
0.22857142857142856,0.25955351397354476,0.22408070443481015,,0.2773173999637878,
0.24285714285714285,0.26212122025745516,0.22579795796522295,,0.28246025710664496,
0.2571428571428571,0.26472872271144937,0.22754548900609453,,0.2876031142495021,
0.2714285714285714,0.2673766030623207,0.22932377090882125,,0.2927459713923592,
0.2857142857142857,0.270065455252225,0.23113328696743535,,0.29788882853521637,
0.3,0.2727958857601709,0.23297453068020477,0.27281675592053894,0.3030316856780735,0.30213935727401803
0.3142857142857143,0.27556851393373416,0.23484800601955308,,0.30817454282093065,
0.32857142857142857,0.27838397233137463,0.2367542277106079,,0.31331739996378777,
0.34285714285714286,0.28124290707575705,0.23869372151870302,,0.31846025710664494,
0.35714285714285715,0.2841459782184866,0.24066702454617023,,0.3236031142495021,
0.37142857142857144,0.28709386011669397,0.24267468553877364,,0.3287459713923592,
0.3857142857142857,0.29008724182192125,0.24471726520215376,,0.33388882853521634,
0.39999999999999997,0.2931268274817793,0.24679533652866492,,0.3390316856780735,
0.41428571428571426,0.2962133367548689,0.24890948513500613,,0.34417454282093063,
0.42857142857142855,0.2993475052394789,0.25106030961106357,,0.3493173999637878,
0.44285714285714284,0.3025300849165994,0.2532484218804018,,0.3544602571066449,
0.45714285714285713,0.30576184460780836,0.2554744475728588,,0.3596031142495021,
0.4714285714285714,0.30904357044862013,0.2577390264097231,,0.3647459713923592,
0.4857142857142857,0.31237606637790516,0.26004281260199014,,0.3698888285352164,
0.5,0.3157601546440252,0.2623864752622198,0.3050860247630123,0.3750316856780735,0.3725812801375717
0.5142857142857142,0.31919667632834864,0.26477069883053883,,0.3801745428209306,
0.5285714285714286,0.3226864918868513,0.2671961835153598,,0.38531739996378783,
0.5428571428571428,0.32623048171053165,0.26966364574941104,,0.39046025710664495,
0.5571428571428572,0.32982954670541015,0.27217381866170376,,0.39560311424950206,
0.5714285714285714,0.3334846088929135,0.2747274525660877,,0.4007459713923592,
0.5857142857142857,0.3371966120314862,0.27732531546708156,,0.4058888285352164,
0.6,0.3409665222603094,0.2799681935836924,0.32612596479920664,0.4110316856780735,0.411259558307304
0.6142857142857142,0.34479532876604907,0.2826568918919783,,0.41617454282093064,
0.6285714285714286,0.34868404447360196,0.28539223468713665,,0.4213173999637878,
0.6428571428571428,0.3526337067618506,0.2881750661659474,,0.4264602571066449,
0.6571428571428571,0.35664537820549297,0.291006251030433,,0.4316031142495021,
0.6714285714285714,0.36072014734405866,0.2938866751136432,,0.4367459713923592,
0.6857142857142857,0.3648591294792834,0.2968172460285172,,0.4418888285352164,
0.7,0.3690634675020674,0.29979889384082015,0.35164321879260374,0.4470316856780735,0.4483934553890319
0.1,,,0.24002727970615448,,0.23041383076809768
0.2,,,0.2540103566091727,,0.2684395413867223
0.4,,,0.28907334726353207,,0.33957731238716454
