epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim
0.0,0.20770896294723054,0.1887062416137375,0.21228554571838976,0.13521346795770056,0.1811215140000283,0.1620516348001361
0.05,0.2138643722479019,0.19279414184658478,0.21883825408193086,0.13521346795770056,0.1836760959999859,0.1672054253998101
0.1,0.22037148932228273,0.19715266596386433,0.2253909624454719,0.13521346795770056,0.2181376751998663,0.1797632919999659
0.15,0.2272467958305452,0.20179550560918924,0.23194367080901296,0.13521346795770056,0.198804289599061,0.1883804256001711
0.2,0.2345079088127694,0.206737296058224,0.23849637917255403,0.13521346795770056,0.1904246246001422,0.1870681102004051
0.25,0.24217367973709897,0.21199369850618532,0.24504908753609514,0.13521346795770056,0.2029285890004039,0.2008977401997745
0.3,0.2502643041262164,0.21758149114432523,0.25160179589963616,0.13521346795770056,0.2075432858002782,0.2040369127998948
0.35,0.2588014431037488,0.22351867014010549,0.2581545042631772,0.13521346795770056,0.201837099599719,0.2120017526000738
0.4,0.26780835840024186,0.22982456180031127,0.2647072126267183,0.13521346795770056,0.1828029953999519,0.2140174890001714
0.45,0.2773100625898757,0.23651994738873,0.2712599209902594,0.13521346795770056,0.1921555176002979,0.2201356384000182
0.5,0.2873334866005372,0.2436272022955574,0.27781262935380047,0.13521346795770056,0.2475791178000569,0.2228712834000587
