epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,p,runDir,DPKI_upper_theory_pointMeasured,DPKI_lower_theory_pointMeasured,PKI_theory_pointMeasured,PFixed_lambda_total,PFixed_gamma_on_chain,PFixed_q_manage,PFixed_mu,PFixed_lambda_block,PFixed_service_cas,PFixed_pki_mu,PFixed_pki_q_manage,PFixed_pki_mu_scale,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.1,0.08514024147365369,0.07689354872284382,4.03433029920671,0.0,0.3,0.45,16.281212156013943,15.644959451719988,22.816716539424878,62.639983377666084,4,17.24511398400575,1.0,p-fixed-service-parameters,0.09292588162596094,0.06509333203286369,0.07866282422325023,0.05877349423394928,0.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0_r2000,0.0919197445886658,0.06371455330685385,0.0789857409464241,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.020046909440790003,-0.007785640152307247,0.0017692755004064115,-0.0017692755004064115
0.1,0.09222348022350432,0.0827177269758501,4.053895986214567,0.05,0.3,0.45,16.182596667587976,15.573248766095096,22.80419446811854,62.92842390944028,4,17.212047503566108,0.35453407234297285,p-fixed-service-parameters,0.10240598747016944,0.07086280625782174,0.0828850255419791,0.06301911783140964,0.05,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p05_r2000,0.10192670851980756,0.06977814994938589,0.08487302436347245,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.021360673965682586,-0.010182507246665112,0.00016729856612900107,-0.00016729856612900107
0.1,0.09866641142352028,0.08686870731815055,4.060790975267574,0.1,0.3,0.45,15.913921279539274,16.27162984750804,22.82062101523732,60.2275254036758,4,17.392376308038173,0.34959491979611074,p-fixed-service-parameters,0.1125157943307444,0.07700726234692792,0.08711557968761315,0.06726474142887,0.1,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p1_r2000,0.11197992449035382,0.07720660770797869,0.08991284142541257,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.02165914907659236,-0.013849382907224123,0.0002468723694625946,-0.0002468723694625946
0.1,0.10490461221913781,0.09267643439608172,4.205204018305242,0.15,0.3,0.45,15.930828018183533,16.315114115905928,22.928227094177984,60.06700247622409,4,17.316705830329543,0.3448115657319491,p-fixed-service-parameters,0.12330085422280748,0.08355855191182285,0.09135460124288222,0.07151036502633035,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000,0.12328878998395049,0.08407666639506828,0.09696210926255186,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.021346060307314965,-0.01839624200366967,0.0013218331531995031,0.0013218331531995031
0.1,0.11107023465486396,0.09858018512340419,4.045544178890265,0.2,0.3,0.45,16.08279568657244,16.29865490565817,22.7760777452074,60.12766118876396,4,17.131169830575278,0.35266330369113064,p-fixed-service-parameters,0.13481202925670316,0.09055223967284895,0.09560220689591321,0.07575598862379071,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000,0.13268053966426693,0.08961502242329386,0.10283963385694775,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.02051799498201501,-0.0237417946018392,0.0029779782274909766,0.0029779782274909766
0.1,0.1187641920889244,0.10204060151884466,4.182642512285014,0.25,0.3,0.45,16.099215268218252,16.063646856787695,23.12068611195421,61.00731725099527,4,17.517082734262782,0.3470721349313998,p-fixed-service-parameters,0.14710628854609487,0.09802816069194606,0.09985851548881011,0.08000161222125104,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000,0.14653702500132698,0.0975214151806827,0.10733504473276373,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.02073603139697834,-0.028342096457170465,0.002182086030034544,0.002182086030034544
0.1,0.1256302102682825,0.10605629004901757,4.03420083357564,0.3,0.3,0.45,15.87817863837079,16.028835800002295,22.82861240652762,61.13981153889291,4,17.386185778347087,0.35111853905059065,p-fixed-service-parameters,0.16024765307795677,0.10603108106728054,0.10412364806758545,0.08424723581871141,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000,0.16022842620366853,0.10642753640091338,0.11297422057177353,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.019599129201001958,-0.03461744280967427,0.001932641981432115,0.001932641981432115
0.1,0.13316995396982612,0.11363175204135137,4.083251038507166,0.35,0.3,0.45,15.990457613371165,15.804191925400437,22.957885750280106,62.008864776246334,4,17.16846366171785,0.3514871461932124,p-fixed-service-parameters,0.17430832161848867,0.11461148521649248,0.10839772793348729,0.08849285941617176,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000,0.17458798577072532,0.11437984276679598,0.12058899519362644,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.01855846875333364,-0.04113836764866255,0.0052340241078640826,0.0052340241078640826
0.1,0.1421651520364839,0.11571208343913875,3.9575459740293257,0.4,0.3,0.45,15.673567456695901,15.234791274501125,22.752584811720517,64.32644742827898,4,17.749726080988566,0.34416509403467915,p-fixed-service-parameters,0.18937001945689325,0.1238265189784048,0.11268088069576707,0.0927384830136321,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000,0.1937911295767656,0.1255948973974027,0.12327287825010459,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.01833863305807909,-0.04720486742040936,0.0030312027433716804,0.0030312027433716804
0.1,0.14808829078427924,0.12244721457139485,4.090719547815841,0.45,0.3,0.45,15.715602546009364,15.735444066876248,22.86078053863845,62.279780337622626,4,17.267262341199235,0.3520943602546097,p-fixed-service-parameters,0.20552562319636797,0.1337411257396265,0.11697323432593643,0.09698410661109247,0.45,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\p_experiment\final_r2000_p_0p45_r2000,0.21034645954201406,0.1368609416252472,0.131502319268401,4.071837849131271,0.29999999999999993,0.45,15.955309134540698,15.935206699110568,4,17.32004325335509,0.4090412988491218,1.0,True,0.014347165044652749,-0.05743733241208873,0.005473980245458421,0.005473980245458421
